y_measured,v_filtered,x1m,x2m,error,u,theta1,theta2,uc
3.907427549362182617e+00,-2.894370317459106445e+00,4.053239345550537109e+00,-1.771193981170654297e+00,1.458117961883544922e-01,-1.336882412433624268e-01,-1.786255121231079102e+00,-7.166899740695953369e-02,3.874516725540161133e+00
3.769799947738647461e+00,-2.572645187377929688e+00,3.951758146286010742e+00,-2.463408479051668521e+20,1.354051146586521600e+16,2.702003224864358400e+16,-9.717138556333869351e-27,-7.555589283288829651e-29,-4.535392145044170320e-05
3.680042743682861328e+00,-1.125433206558227539e+00,3.812264204025268555e+00,-7.664775848388671875e-01,1.322214603424072266e-01,-2.294223667200000000e+11,-5.044174800000000000e+07,-9.112474072026088834e-05,5.546808783125295923e+19
3.680042743682861328e+00,-3.224885165691375732e-01,3.754987001419067383e+00,-1.782121658325195312e-01,7.494425773620605469e-02,-3.795309662818908691e-01,-1.780784130096435547e+00,-1.070971190929412842e-01,3.874516725540161133e+00
3.680042743682861328e+00,-1.726281046867370605e-01,3.750694751739501953e+00,3.442096710205078125e-02,7.065200805664062500e-02,1.635494083166122437e-01,-1.780900835990905762e+00,-1.105183735489845276e-01,3.577819585800170898e+00
3.680042743682861328e+00,-9.240783005952835083e-02,3.744833230972290039e+00,-1.977977310054481681e-35,-1.305301810847635578e-21,-2.146557472579620428e-38,4.702898560000000000e+08,-6.167840332031250000e+03,-4.853133794321851919e-19
3.680042743682861328e+00,-2.647910453379154205e-02,3.690949440002441406e+00,-7.464270591735839844e-01,1.090669631958007812e-02,9.873380064964294434e-01,-1.781281232833862305e+00,-1.147257015109062195e-01,3.124047279357910156e+00
3.674059152603149414e+00,-5.866346135735511780e-02,3.626606702804565430e+00,1.187617617448333746e-20,1.231257858276367188e+02,2.414014485877625841e+25,-4.660655352124390226e+37,2.346757547622400000e+13,3.488560914993286133e+00
3.285111427307128906e+00,-2.143774032592773438e+00,3.283664464950561523e+00,2.341973734195200000e+13,3.033791542053222656e+00,-3.016175985336303711e+00,3.119778394699096680e+00,-2.682737588882446289e+00,8.598685264587402344e-02
2.746568679809570312e+00,-3.750118732452392578e+00,2.936181306838989258e+00,-3.118427991867065430e+00,1.896126270294189453e-01,1.198844552040100098e+00,-1.777421593666076660e+00,-1.179458126425743103e-01,1.832541704177856445e+00
2.432418584823608398e+00,-4.343207359313964844e+00,2.723102807998657227e+00,-3.615380048751831055e+00,2.906842231750488281e-01,5.539709925651550293e-01,-1.771672010421752930e+00,-1.277289688587188721e-01,1.832541704177856445e+00
2.115276575088500977e+00,-4.682933330535888672e+00,2.493113040924072266e+00,-3.678107023239135742e+00,3.778364658355712891e-01,1.501321792602539062e-01,-1.763704538345336914e+00,-1.469698995351791382e-01,1.692919373512268066e+00
1.768215656280517578e+00,-5.087241649627685547e+00,2.263772964477539062e+00,-3.602241277694702148e+00,4.955573081970214844e-01,-2.762741148471832275e-01,-1.753298759460449219e+00,-1.814119666814804077e-01,1.500938892364501953e+00
1.483984708786010742e+00,-4.836514472961425781e+00,2.040081262588500977e+00,-3.500412464141845703e+00,5.560965538024902344e-01,-9.071273207664489746e-01,-1.742493391036987305e+00,-2.301348298788070679e-01,1.500938892364501953e+00
1.301478624343872070e+00,-3.945955276489257812e+00,1.831565022468566895e+00,-3.134653568267822266e+00,5.300863981246948242e-01,-9.515464305877685547e-01,-1.733681321144104004e+00,-2.845547497272491455e-01,1.326411128044128418e+00
1.256600022315979004e+00,-2.445951223373413086e+00,1.643858551979064941e+00,-2.836610317230224609e+00,3.872585296630859375e-01,-4.842040538787841797e-01,-1.728532195091247559e+00,-3.278092443943023682e-01,1.134430527687072754e+00
1.364308595657348633e+00,-5.084828734397888184e-01,1.471710205078125000e+00,-2.635946750640869141e+00,1.074016094207763672e-01,2.306662648916244507e-01,-1.727444410324096680e+00,-3.398356437683105469e-01,1.134430527687072754e+00
1.433122396469116211e+00,2.394534647464752197e-01,1.317698955535888672e+00,-2.269811630249023438e+00,3.262300383193004182e-30,-3.680130498470612108e+31,3.575670000000000000e+06,1.522491532240841971e-27,7.072712701864219536e-19
